eventID,eventDate,decimalLatitude,decimalLongitude,locality,county,stateProvince,countryCode,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,samplingProtocol,datasetName,locationRemarks
400_2001-10-18_2001-10-18,2001-10-18/2001-10-18,34.00556946,-119.41925,Cat Rock,Ventura,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Anacapa Island Special Closure
6009_2015-06-02_2015-06-02,2015-06-02/2015-06-02,39.56906509,-123.77182,Abalobadiah Creek,Mendocino,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ten Mile SMR
6009_2018-07-13_2018-07-13,2018-07-13/2018-07-13,39.56906509,-123.77182,Abalobadiah Creek,Mendocino,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ten Mile SMR
89_2012-02-03_2012-02-03,2012-02-03/2012-02-03,33.73778152,-118.37612,Abalone Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Abalone Cove SMCA
89_2014-02-13_2014-02-13,2014-02-13/2014-02-13,33.73778152,-118.37612,Abalone Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Abalone Cove SMCA
89_2015-01-21_2015-01-21,2015-01-21/2015-01-21,33.73778152,-118.37612,Abalone Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Abalone Cove SMCA
89_2015-04-14_2015-04-14,2015-04-14/2015-04-14,33.73778152,-118.37612,Abalone Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Abalone Cove SMCA
58_2005-02-07_2005-02-07,2005-02-07/2005-02-07,37.82500076,-122.42194,Alcatraz,San Francisco,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
71_2008-02-15_2008-02-15,2008-02-15/2008-02-15,37.89757919,-122.71071,Alder Creek; Duxbury,Marin,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Duxbury Reef SMCA
38_2001-05-26_2001-05-26,2001-05-26/2001-05-26,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2003-05-18_2003-05-18,2003-05-18/2003-05-18,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2004-05-10_2004-05-10,2004-05-10/2004-05-10,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2012-01-05_2012-01-05,2012-01-05/2012-01-05,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2015-01-22_2015-01-22,2015-01-22/2015-01-22,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
