SpeciesID,CommonName,ScientificName,species_definition,taxonomic_source,taxonomic_id,kingdom,phylum,class,order,family,genus,rank,new_scientificName,new_scientificNameID,new_kingdom,new_phylum,new_class,new_order,new_family,new_genus,new_rank,match_type
A0,Abalone species,Haliotis spp.,"abalone, not identified to species level",WoRMS,138050,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Genus,Haliotis,138050.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Genus,exact
A1,Red Abalone,Haliotis rufescens,Haliotis rufescens,WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A11,Flat Abalone,Haliotis walallensis,Haliotis walallensis,WoRMS,445374,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis walallensis,445374.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A12,Pinto Abalone,Haliotis kamtschatkana,Haliotis kamtschatkana,WoRMS,405014,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis kamtschatkana,405014.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A13,Green Abalone,Haliotis fulgens,Haliotis fulgens,WoRMS,445325,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis fulgens,445325.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A14,Threaded Abalone,Haliotis kamtschatkana,Haliotis kamtschatkana (previously was designated subspecies assimilis),WoRMS,405014,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis kamtschatkana,405014.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A15,Pink Abalone,Haliotis corrugata,Haliotis corrugata,WoRMS,445308,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis corrugata,445308.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
C0,Crab species,Brachyura,"crab, not identified beyond the infraorder level",WoRMS,106673,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,Brachyura,106673.0,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,exact
C1,Cancer species,Cancer spp.,"crab, not identified to species level",WoRMS,106876,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Genus,Cancer,106876.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Genus,exact
C11,Red Rock Crab,Cancer productus,Cancer productus,WoRMS,440382,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Species,Cancer productus,440382.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Species,exact
C12,Brown Rock Crab,Romaleon antennarium,Romaleon antennarium,WoRMS,440397,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon,Species,Romaleon antennarium,440397.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon,Species,exact
C21,Sharpnose Crab,Scyra acutifrons,Scyra acutifrons,WoRMS,441698,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,Species,Scyra acutifrons,441698.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,Species,exact
C22,Graceful Decorator Crab,Oregonia gracilis,Oregonia gracilis,WoRMS,442171,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Species,Oregonia gracilis,442171.0,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Species,exact
